"Dist Code","Year","State Code","State Name","Dist Name","RICE HARVEST PRICE (Rs per Quintal)","PADDY HARVEST PRICE (Rs per Quintal)","WHEAT HARVEST PRICE (Rs per Quintal)","SORGHUM HARVEST PRICE (Rs per Quintal)","PEARL MILLET HARVEST PRICE (Rs per Quintal)","MAIZE HARVEST PRICE (Rs per Quintal)","FINGER MILLET HARVEST PRICE (Rs per Quintal)","BARLEY HARVEST PRICE (Rs per Quintal)","CHICKPEA HARVEST PRICE (Rs per Quintal)","PIGEONPEA HARVEST PRICE (Rs per Quintal)","GROUNDNUT HARVEST PRICE (Rs per Quintal)","SEASMUM HARVEST PRICE (Rs per Quintal)","RAPE AND MUSTARD HARVEST PRICE (Rs per Quintal)","CASTOR HARVEST PRICE (Rs per Quintal)","LINSEED HARVEST PRICE (Rs per Quintal)","SUGARCANE GUR HARVEST PRICE (Rs per Quintal)","COTTON KAPAS HARVEST PRICE (Rs per Quintal)"
"97","2009","7","Maharashtra","Raigad","-1.0","834.0","-1.0","957.0","-1.0","-1.0","1175.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"97","2010","7","Maharashtra","Raigad","-1.0","1245.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"97","2011","7","Maharashtra","Raigad","-1.0","1735.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"97","2012","7","Maharashtra","Raigad","-1.0","1683.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"97","2013","7","Maharashtra","Raigad","-1.0","1294.0","-1.0","-1.0","-1.0","-1.0","1857.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"97","2014","7","Maharashtra","Raigad","-1.0","1397.0","-1.0","-1.0","-1.0","-1.0","2139.0","-1.0","-1.0","3565.0","-1.0","-1.0","3348.0","-1.0","-1.0","-1.0","-1.0"
"97","2015","7","Maharashtra","Raigad","-1.0","1565.0","-1.0","-1.0","-1.0","-1.0","2091.0","-1.0","5222.0","7010.0","3957.0","9671.0","4000.0","-1.0","-1.0","-1.0","-1.0"
"97","2016","7","Maharashtra","Raigad","-1.0","1632.0","-1.0","-1.0","-1.0","-1.0","2011.0","-1.0","8175.0","3617.0","3867.0","9315.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"98","2007","7","Maharashtra","Ratnagiri","-1.0","610.0","-1.0","-1.0","-1.0","-1.0","512.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"98","2008","7","Maharashtra","Ratnagiri","-1.0","705.0","-1.0","-1.0","-1.0","-1.0","998.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"98","2009","7","Maharashtra","Ratnagiri","-1.0","895.0","-1.0","957.0","-1.0","-1.0","1020.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"98","2010","7","Maharashtra","Ratnagiri","-1.0","1242.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"98","2011","7","Maharashtra","Ratnagiri","-1.0","2443.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
